cpu_percent,threads_number,memory_usage_vms,memory_usage_rss
0.0,31,73923354624,144310272
4.0,31,73923354624,144310272
0.0,31,73923354624,144310272
0.2,31,73923354624,144322560
0.0,31,73923354624,144322560
0.0,31,73923354624,144322560
0.0,31,73923354624,144322560
